commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2017-03-11,0.0102639375254511,0.0430301129817962,0.9467059373855592,1,negative,0.0
Wheat,2017-03-13,0.0160967502743005,0.0429745055735111,0.9409288167953492,1,negative,0.0
Wheat,2017-03-16,0.0639915540814399,0.9197842478752136,0.0162241831421852,1,neutral,0.0
Wheat,2017-03-23,0.1558622419834137,0.8290507793426514,0.0150869097560644,1,neutral,0.0
Wheat,2017-03-28,0.2679801881313324,0.2285235077142715,0.5034963488578796,1,negative,0.0
Wheat,2017-03-29,0.0380185097455978,0.9309031963348388,0.0310783255845308,1,neutral,0.0
Wheat,2017-03-31,0.0386502780020237,0.945197820663452,0.0161519423127174,1,neutral,0.0
Wheat,2017-04-06,0.051772460341453504,0.45964574627578253,0.48858177755028004,2,neutral,0.0399154499173164
Wheat,2017-04-10,0.0118756899610161,0.0733203068375587,0.914803981781006,1,negative,0.0
Wheat,2017-04-11,0.0248260032385587,0.9433262348175048,0.0318477749824523,1,neutral,0.0
Wheat,2017-04-12,0.021517049986869048,0.4974784273654223,0.48100448399782186,2,negative,0.00846578506752845
Wheat,2017-04-16,0.00931943859905,0.0516982413828372,0.9389823079109192,1,negative,0.0
Wheat,2017-04-19,0.4860130874440074,0.1583962552249431,0.3555907495319843,2,negative,0.4596380265429616
Wheat,2017-04-21,0.1026882529258728,0.8707966804504395,0.0265150852501392,1,neutral,0.0
Wheat,2017-04-24,0.03962660999968645,0.07429780997335905,0.8860755562782288,2,negative,0.025814864318817854
Wheat,2017-04-25,0.0158021766692399,0.1052302122116088,0.8789676427841187,1,negative,0.0
Wheat,2017-05-02,0.0422555357217788,0.6350498199462891,0.3226945996284485,1,neutral,0.0
Wheat,2017-05-04,0.0286119971424341,0.2073902487754821,0.7639977931976318,1,negative,0.0
Wheat,2017-05-10,0.0292458496987819,0.283653050661087,0.6871010661125183,1,negative,0.0
Wheat,2017-05-12,0.127709299325943,0.020235139876604,0.852055549621582,1,negative,0.0
Wheat,2017-05-13,0.0574755258858203,0.2997716069221496,0.6427528262138367,1,negative,0.0
Wheat,2017-05-22,0.5952715533785522,0.17197281029075379,0.2327556340023875,4,positive,0.3597669551384498
Wheat,2017-07-13,0.924437940120697,0.0367193780839443,0.0388426296412944,1,positive,0.0
Wheat,2017-08-05,0.0150299100205302,0.0505143925547599,0.934455633163452,1,negative,0.0
Wheat,2017-08-10,0.0224503092467784,0.500106930732727,0.4774427413940429,1,neutral,0.0
Wheat,2017-08-17,0.017174569889903,0.0503538735210895,0.9324716329574584,1,negative,0.0
Wheat,2017-09-04,0.0636199340224266,0.167060986161232,0.7693190574645996,2,negative,0.0
Wheat,2017-10-31,0.6163872480392456,0.3694521784782409,0.0141606293618679,1,positive,0.0
Wheat,2017-11-10,0.1324815452098846,0.6814767718315125,0.1860416382551193,1,neutral,0.0
Wheat,2017-11-21,0.08994747698307035,0.876669704914093,0.03338282555341715,2,neutral,0.04163452982902524
Wheat,2017-12-07,0.0164341125637292,0.1338121891021728,0.8497537970542908,1,negative,0.0
